Omni Dallas Hotel,555 S. Lamar St.,Dallas,United States,TX 75202-1961,4.5,25000,/static/images/hotel_31.jpeg
Lands End Inn,22 Commercial St,Provincetown,United States,MA 02657-1910,5,17500,/static/images/hotel_32.jpeg
Lookout Point Lakeside Inn,104 Lookout Circle,Hot Springs,United States,AR 71913,5,24000,/static/images/hotel_33.jpeg
Carson Ridge Luxury Cabins,1261 Wind River Hwy,Carson,United States,WA 98610-3257,5,22500,/static/images/hotel_34.jpeg
Pacific Terrace Hotel,610 Diamond Street,San Diego,United States,CA 92109-2444,4.5,41000,/static/images/hotel_35.jpeg
Radisson Blu Scandinavia,Sodra Hamngatan 59,Gothenburg,Sweden,40124,4,10500,/static/images/hotel_36.jpeg
Radisson Blu Royal Viking Hotel,1 Vasagatan P.O. Box 234,Stockholm,Sweden,11120,4,13500,/static/images/hotel_37.jpeg
Scandic Rubinen,Kungsportsavenyn 24,Gothenburg,Sweden,40014,3.5,10000,/static/images/hotel_38.jpeg
Gothia Towers,Massans gata 24,Gothenburg,Sweden,40226,4,13000,/static/images/hotel_39.jpeg
Scandic Continental,Vasagatan 22,Stockholm,Sweden,11121,4,16500,/static/images/hotel_40.jpeg
Amsterdam Wiechmann Hotel,328-332,Prinsengracht,Netherlands,1016,4,12000,/static/images/hotel_41.jpeg
NH Maastricht,Forum 110,Maastricht,Netherlands,6229,4,7000,/static/images/hotel_42.jpeg
Hotel Mainport Rotterdam,77 Leuvehaven,Rotterdam,Netherlands,3011,4.5,12500,/static/images/hotel_43.jpeg
NH Utrecht,Jaarbeursplein 24,Utrecht,Netherlands,3521,4,11000,/static/images/hotel_44.jpeg
Hilton Garden Inn Leiden,Willem Einthovenstraat 3,Leiden,Netherlands,2342,4.5,8000,/static/images/hotel_45.jpeg
Scandic Ishavshotel,Fredrik Langes gate 2,Tromso,Norway,9008,4.5,16500,/static/images/hotel_46.jpeg
Scandic Ornen,Lars Hilles gate 18,Bergen,Norway,5008,4,17500,/static/images/hotel_47.jpeg
Bergen Bors Hotel,Vaagsallmenningen 1,Bergen,Norway,5014,4.5,20000,/static/images/hotel_48.jpeg
Scandic Nidelven,Havnegata 1-3,Trondheim,Norway,7010,4,15500,/static/images/hotel_49.jpeg
Smarthotel Tromso,Vestregata 6,Tromso,Norway,9008,4,8000,/static/images/hotel_50.jpeg
